PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Cody Ceci,D,3,,UFA,LAK,31,0,0,24,
Philip Tomasino,F,C,MINOR,BOT,PIT,24,0.5,0,34,
Tyler Myers,D,3,,UFA,VAN,35,0,0,26,
Matt Roy,D,3,,UFA,WSH,30,0,0,25,
Eric Comrie,G,3,,UFA,WPG,30,0,0,25,
Charlie McAvoy,D,3,,UFA,BOS,27,0,0,45,
Joel Kiviranta,F,3,,UFA,COL,29,0,0,18,
Andrew Copp,F,3,,UFA,DET,31,0,0,31,
Jesper Boqvist,F,3,,UFA,FLA,26,0,0,26,
Ryan Pulock,D,3,,UFA,NYI,30,0,0,24,
Kevin Hayes,F,3,,UFA,PIT,33,0,0,28,
Jake Mccabe,D,3,,UFA,TOR,31,0,0,27,
Thatcher Demko,G,3,START,LGN,VAN,29,3.0,0,64,
Nikita Zadorov,D,3,,UFA,BOS,30,0,0,23,
Lukas Reichel,F,B,MINOR,BOT,CHI,23,0.5,0,26,
Mason Appleton,F,3,,UFA,DET,29,0,0,29,
John Gibson,G,3,START,SHF,DET,32,0.5,0,40,
Niko Mikkola,D,3,,UFA,FLA,29,0,0,20,
Brian Dumoulin,D,3,,UFA,LAK,34,0,0,20,
Kirby Dach,F,3,,UFA,MTL,24,0,0,39,
Paul Cotter,F,3,,UFA,NJD,25,0,0,27,
Cody Glass,F,3,,UFA,NJD,26,0,0,28,
Lars Eller,F,3,,UFA,OTT,36,0,0,24,
Justin Brazeau,F,3,,UFA,PIT,27,0,0,23,
Tommy Novak,F,3,,UFA,PIT,28,0,0,35,
