"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Max Domi                                3","F","UFA","TOR","32","$0.6","80","36","0.5"
"John Marino                                3","D","UFA","UTA","30","$0.5","80","36","0.5"
"Eeli Tolvanen                                3","F","UFA","NYR","28","$0.9","78","36","0.5"
"Fraser Minten                                3","F","UFA","BOS","23","$0.0","82","35","0.4"
"Teuvo Teravainen                                3","F","MAC","CHI","33","$0.5","75","35","0.5"
"Parker Kelly                                3","F","UFA","COL","28","$0.0","82","35","0.4"
"Gabriel Landeskog                                3","F","UFA","COL","34","$1.5","60","35","0.6"
"Brent Burns                                3","D","UFA","COL","42","$0.9","82","35","0.4"
"Ryan Shea                                3","D","UFA","EDM","30","$0.0","80","35","0.4"
"Blake Coleman                                3","F","UFA","MIN","35","$0.6","69","35","0.5"
"Luke Hughes                                B","D","VPP","NJD","24","$0.6","68","35","0.5"
"Jean-Gabriel Pageau                                3","F","UFA","NYI","34","$0.5","74","35","0.5"
"Tony DeAngelo                                3","D","SHF","NYI","31","$1.0","76","35","0.5"
"Vladislav Gavrikov                                3","D","UFA","NYR","31","$0.5","82","35","0.4"
"Michael Amadio                                3","F","UFA","OTT","31","$0.0","81","35","0.4"
"Ridly Greig                                3","F","UFA","OTT","25","$0.0","77","35","0.5"
"Ben Kindel                                3","F","SHF","PIT","20","$0.5","77","35","0.5"
"Jacob Trouba                                3","D","UFA","SJS","33","$1.0","81","35","0.4"
"Linus Karlsson                                3","F","UFA","VAN","27","$0.0","79","35","0.4"
"Marco Rossi                                C","F","GVR","VAN","25","$1.8","50","35","0.7"
"Justin Sourdif                                3","F","UFA","WSH","25","$0.0","78","35","0.4"
"Josh Norris                                3","F","UFA","BUF","28","$0.5","44","34","0.8"
"Matthew Tkachuk                                3","F","UFA","FLA","29","$5.0","31","34","1.1"
"David Rittich                                3","G","UFA","NJD","35","$0.8","30","34","1.1"
"Justin Brazeau                                3","F","UFA","PIT","29","$0.0","64","34","0.5"
"Kris Letang                                3","D","UFA","PIT","40","$0.9","74","34","0.5"
"Philip Broberg                                3","D","JHN","STL","26","$1.2","81","34","0.4"
"Alex Killorn                                3","F","UFA","ANA","38","$0.6","82","33","0.4"
"Marat Khusnutdinov                                3","F","UFA","BOS","25","$0.0","77","33","0.4"
"Alexander Nikishin                                C","D","SRL","CAR","25","$0.6","81","33","0.4"
"Conor Garland                                3","F","UFA","CBJ","31","$0.6","71","33","0.5"
"Cole Sillinger                                C","F","LPT","CBJ","24","$0.5","81","33","0.4"
"Sam Steel                                3","F","UFA","DAL","29","$0.8","73","33","0.5"
"Casey DeSmith                                3","G","UFA","DAL","36","$0.5","30","33","1.1"
"Eetu Luostarinen                                3","F","UFA","FLA","29","$0.0","73","33","0.5"
"Andre Burakovsky                                3","F","UFA","OTT","32","$0.5","75","33","0.4"
"Fabian Zetterlund                                3","F","UFA","OTT","28","$0.0","82","33","0.4"
"Gage Goncalves                                3","F","UFA","TBL","26","$0.5","74","33","0.4"
"A.J. Greer                                3","F","UFA","ANA","30","$0.0","78","32","0.4"
"Dmitri Voronkov                                3","F","JHN","CBJ","27","$0.5","63","32","0.5"
"Damon Severson                                3","D","UFA","CBJ","33","$0.5","71","32","0.5"
"Esa Lindell                                3","D","UFA","DAL","33","$0.5","82","32","0.4"
"Frederik Andersen                                3","G","UFA","EDM","37","$0.6","35","32","0.9"
"Seth Jones                                3","D","UFA","FLA","32","$2.5","52","32","0.6"
"Trevor Moore                                3","F","UFA","LAK","32","$0.7","69","32","0.5"
"Oliver Bjorkstrand                                3","F","MAC","NYR","32","$0.5","80","32","0.4"
"Jamie Drysdale                                RFA2","D","'RFA'","PHI","25","$0.6","78","32","0.4"
"Nicholas Robertson                                3","F","UFA","PIT","26","$0.5","78","32","0.4"
"Mackie Samoskevich                                B","F","ZSK","SEA","24","$0.5","77","32","0.4"
"Brandon Montour                                3","D","UFA","SEA","33","$1.7","64","32","0.5"
"Cole Perfetti                                C","F","VPP","WPG","25","$1.3","68","32","0.5"
"Sean Walker                                3","D","UFA","CAR","32","$0.5","81","31","0.4"
"Josh Manson                                3","D","UFA","COL","35","$0.5","79","31","0.4"
"Denton Mateychuk                                A","D","JHN","CBJ","23","$0.5","75","31","0.4"
"Ivan Provorov                                3","D","UFA","CBJ","30","$0.5","82","31","0.4"
"Elvis Merzlikins                                3","G","UFA","CBJ","33","$1.2","30","31","1.0"
"Jonathan Marchessault                                3","F","UFA","NSH","36","$0.8","62","31","0.5"
"Arseny Gritsyuk                                3","F","UFA","NJD","26","$0.0","66","31","0.5"
"Evan Rodrigues                                3","F","UFA","NJD","34","$1.0","69","31","0.4"
"Emil Heineman                                3","F","UFA","NYI","25","$0.0","82","31","0.4"
"Joonas Korpisalo                                3","G","UFA","NYR","33","$0.9","31","31","1.0"
"Thomas Chabot                                2","D","JHN","OTT","30","$3.2","57","31","0.5"
"Jordan Spence                                3","D","SHF","OTT","26","$0.5","73","31","0.4"
"Michael Carcone                                3","F","UFA","UTA","31","$0.0","79","31","0.4"
"Victor Olofsson                                3","F","UFA","VGK","32","$1.1","78","31","0.4"
"Ryan Donato                                3","F","UFA","CHI","31","$0.8","82","30","0.4"
"Justin Hryckowian                                3","F","UFA","DAL","26","$0.0","81","30","0.4"
"Emmitt Finnie                                3","F","UFA","DET","22","$0.0","82","30","0.4"
"Bobby Brink                                3","F","UFA","MIN","26","$0.5","68","30","0.4"
