"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Malcolm Spence                                A","F","ENT","NYR","20","$0.0","0","0","0.0"
"Tomas Chrenko                                A","F","ENT","NYR","19","$0.0","0","0","0.0"
"Mikkel Eriksen                                A","F","ENT","NYR","20","$0.0","0","0","0.0"
"Felix Farhammar                                A","D","ENT","NYR","20","$0.0","0","0","0.0"
"Rico Gredig                                A","F","ENT","NYR","22","$0.0","0","0","0.0"
"Samuel Jung                                A","F","ENT","NYR","21","$0.0","0","0","0.0"
"Rasmus Larsson                                A","D","ENT","NYR","23","$0.0","0","0","0.0"
"Zeb Lindgren                                A","D","ENT","NYR","20","$0.0","0","0","0.0"
"Ivan Patrikhayev                                A","D","ENT","NYR","21","$0.0","0","0","0.0"
"Matthew Andonovski                                A","D","ENT","OTT","22","$0.0","0","0","0.0"
"Eskild Bakke Olsen                                3","F","UFA","OTT","25","$0.0","0","0","0.0"
"Samuel Bolduc                                3","D","UFA","OTT","26","$0.0","0","0","0.0"
"Tyler Boucher                                3","F","UFA","OTT","24","$0.0","0","0","0.0"
"Xavier Bourgault                                B","F","GVR","OTT","24","$0.5","2","0","0.0"
"Philippe Daoust                                3","F","UFA","OTT","25","$0.0","0","0","0.0"
"Jorian Donovan                                A","D","ENT","OTT","23","$0.0","2","0","0.0"
"Gabriel Eliasson                                A","D","ENT","OTT","21","$0.0","0","0","0.0"
"Lucas Ellinas                                A","F","ENT","OTT","21","$0.0","0","0","0.0"
"Kasper Halttunen                                A","F","ENT","OTT","22","$0.0","0","0","0.0"
"Tomas Hamara                                A","D","ENT","OTT","23","$0.0","0","0","0.0"
"Hayden Hodgson                                3","F","UFA","OTT","31","$0.0","10","0","0.0"
"Christian Kyrou                                A","D","GVR","OTT","23","$0.5","0","0","0.0"
"Blake Montgomery                                A","F","ENT","OTT","22","$0.0","0","0","0.0"
"Jackson Parsons                                A","G","ENT","OTT","22","$0.0","0","0","0.0"
"Oskar Pettersson                                A","F","ENT","OTT","23","$0.0","0","0","0.0"
"Kevin Reidler                                A","G","ENT","OTT","23","$0.0","0","0","0.0"
"Hoyt Stanley                                A","D","ENT","OTT","22","$0.0","0","0","0.0"
"Ryan Suzuki                                3","F","UFA","OTT","26","$0.0","0","0","0.0"
"Djibril Toure                                3","D","UFA","OTT","24","$0.0","0","0","0.0"
"Lucas Beckman                                A","G","ENT","OTT","20","$0.0","0","0","0.0"
"Louis Felix Bourque                                A","F","ENT","OTT","19","$0.0","0","0","0.0"
"Jaxon Cover                                A","F","ENT","OTT","19","$0.0","0","0","0.0"
"Elliot Lennon                                A","G","ENT","OTT","19","$0.0","0","0","0.0"
"Adam Nemec                                A","F","ENT","OTT","19","$0.0","0","0","0.0"
"Harris Pangretitsch                                A","D","ENT","OTT","19","$0.0","0","0","0.0"
"Blake Vanek                                A","F","ENT","OTT","20","$0.0","0","0","0.0"
"Owen Beckner                                A","F","ENT","OTT","22","$0.0","0","0","0.0"
"Logan Hensler                                A","D","ENT","OTT","20","$0.0","0","0","0.0"
"Bruno Idzan                                A","F","ENT","OTT","21","$0.0","0","0","0.0"
"Javon Moore                                A","F","ENT","OTT","21","$0.0","0","0","0.0"
"Filip Nordberg                                A","D","ENT","OTT","23","$0.0","0","0","0.0"
"Cameron O`Neill                                A","F","ENT","OTT","23","$0.0","0","0","0.0"
"Brandon Svoboda                                A","F","ENT","OTT","22","$0.0","0","0","0.0"
"Nicholas VanTassell                                A","F","ENT","OTT","23","$0.0","0","0","0.0"
"Theo Wallberg                                A","D","ENT","OTT","23","$0.0","0","0","0.0"
"Alexander Grunin                                A","D","ENT","OTT","19","$0.0","0","0","0.0"
"Oscar Holmertz                                A","F","ENT","OTT","19","$0.0","0","0","0.0"
"Dmitri Isayev                                A","F","ENT","OTT","20","$0.0","0","0","0.0"
"Jonas Lagerberg Hoen                                A","F","ENT","OTT","19","$0.0","0","0","0.0"
"Vladimir Nikitin                                A","G","ENT","OTT","22","$0.0","0","0","0.0"
"Andrei Trofimov                                A","G","ENT","OTT","21","$0.0","0","0","0.0"
"Eerik Wallenius                                A","D","ENT","OTT","21","$0.0","0","0","0.0"
"David Jiricek                                A","D","VPP","PHI","23","$0.5","26","0","0.0"
"Zachary Aston-Reese                                3","F","UFA","PHI","33","$0.0","0","0","0.0"
"Carson Bjarnason                                A","G","ENT","PHI","22","$0.0","0","0","0.0"
"Alex Ciernik                                A","F","ENT","PHI","22","$0.0","0","0","0.0"
"Cam Dineen                                3","D","UFA","PHI","29","$0.0","0","0","0.0"
"Jackson Edward                                A","D","ENT","PHI","23","$0.0","0","0","0.0"
"Jacob Gaucher                                3","F","UFA","PHI","26","$0.0","4","0","0.0"
"Spencer Gill                                A","D","ENT","PHI","21","$0.0","0","0","0.0"
"Helge Grans                                3","D","UFA","PHI","25","$0.0","0","0","0.0"
"Devin Kaplan                                A","F","ENT","PHI","23","$0.0","0","0","0.0"
"Danila Klimovich                                3","F","UFA","PHI","24","$0.0","0","0","0.0"
"Cole Knuble                                A","F","ENT","PHI","23","$0.0","0","0","0.0"
"Aleksei Kolosov                                C","G","BOT","PHI","25","$0.5","4","0","0.0"
"Jett Luchanko                                A","F","LPT","PHI","21","$0.5","4","0","0.0"
"Ty Murchison                                3","D","UFA","PHI","24","$0.0","3","0","0.0"
"Noah Powell                                A","F","ENT","PHI","22","$0.0","0","0","0.0"
"Jack Studnicka                                3","F","UFA","PHI","28","$0.0","19","0","0.0"
"Riley Thompson                                3","F","UFA","PHI","25","$0.0","0","0","0.0"
"Carter Amico                                A","D","ENT","PHI","20","$0.0","0","0","0.0"
"Matthew Gard                                A","F","ENT","PHI","20","$0.0","0","0","0.0"
"Brek Liske                                A","D","ENT","PHI","19","$0.0","0","0","0.0"
"Ilya Pautov                                A","F","ENT","PHI","21","$0.0","0","0","0.0"
"Martin Psohlavec                                A","G","ENT","PHI","19","$0.0","0","0","0.0"
"Kent Sauer                                A","F","ENT","PHI","19","$0.0","0","0","0.0"
"Marek Sklenicka                                A","G","ENT","PHI","19","$0.0","0","0","0.0"
"Maksim Sokolovskii                                A","D","ENT","PHI","19","$0.0","0","0","0.0"
"Luke Vlooswyk                                A","D","ENT","PHI","20","$0.0","0","0","0.0"
"Ryan MacPherson                                A","F","ENT","PHI","22","$0.0","0","0","0.0"
"Austin Moline                                A","D","ENT","PHI","21","$0.0","0","0","0.0"
"Jack Murtagh                                A","F","ENT","PHI","20","$0.0","0","0","0.0"
"Jack Nesbitt                                A","F","SHF","PHI","20","$0.5","0","0","0.0"
"Nathan Quinn                                A","F","ENT","PHI","20","$0.0","0","0","0.0"
"Heikki Ruohonen                                A","F","ENT","PHI","21","$0.0","0","0","0.0"
"Shane Vansaghi                                A","F","ENT","PHI","20","$0.0","0","0","0.0"
"Jack Berglund                                A","F","ENT","PHI","21","$0.0","0","0","0.0"
"Max Laatikainen                                A","D","ENT","PHI","19","$0.0","0","0","0.0"
"Max Westergard                                A","F","ENT","PHI","20","$0.0","0","0","0.0"
"Egor Zavragin                                A","G","GVR","PHI","22","$0.5","0","0","0.0"
"Joel Blomqvist                                C","G","BOT","PIT","25","$0.5","0","0","0.0"
"Tristan Broz                                3","F","UFA","PIT","24","$0.0","1","0","0.0"
"Atley Calvert                                A","F","ENT","PIT","23","$0.0","0","0","0.0"
"Gabriel D`Aigle                                A","G","ENT","PIT","20","$0.0","0","0","0.0"
"Melvin Fernstrom                                A","F","ENT","PIT","21","$0.0","0","0","0.0"
"Taylor Gauthier                                3","G","UFA","PIT","26","$0.0","0","0","0.0"
"David Gustafsson                                3","F","UFA","PIT","27","$0.0","0","0","0.0"
"Finn Harding                                A","D","ENT","PIT","22","$0.0","0","0","0.0"
"Tanner Howe                                A","F","ENT","PIT","21","$0.0","0","0","0.0"
"Mikhail Ilyin                                A","F","ENT","PIT","22","$0.0","0","0","0.0"
"Philip Kemp                                3","D","UFA","PIT","28","$0.0","0","0","0.0"
"Daniel Laatsch                                3","D","UFA","PIT","25","$0.0","0","0","0.0"
"Jake Livanavage                                A","D","ENT","PIT","23","$0.0","1","0","0.0"
"Oliver Okuliar                                3","F","UFA","PIT","27","$0.0","0","0","0.0"
"Owen Pickering                                3","D","UFA","PIT","23","$0.0","4","0","0.0"
"Chase Pietila                                A","D","ENT","PIT","23","$0.0","0","0","0.0"
"Bill Zonnon                                A","F","JHN","PIT","20","$0.5","0","0","0.0"
"Alexander Alexeyev                                3","D","UFA","PIT","27","$0.0","0","0","0.0"
"Travis Hayes                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Peyton Kettles                                A","D","ENT","PIT","20","$0.0","0","0","0.0"
"Liam Ruck                                A","F","ENT","PIT","19","$0.0","0","0","0.0"
"Markus Ruck                                A","F","ENT","PIT","19","$0.0","0","0","0.0"
"Carter Sanderson                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Quinn Beauchesne                                A","D","ENT","PIT","20","$0.0","0","0","0.0"
"Jordan Charron                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Kale Dach                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Luke Devlin                                A","F","ENT","PIT","23","$0.0","0","0","0.0"
"William Horcoff                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Pierce Mbuyi                                A","F","ENT","PIT","19","$0.0","0","0","0.0"
"Ryan Miller                                A","F","ENT","PIT","20","$0.0","0","0","0.0"
"Brady Peddle                                A","D","ENT","PIT","20","$0.0","0","0","0.0"
"Zam Plante                                A","F","ENT","PIT","23","$0.0","0","0","0.0"
"Mac Swanson                                A","F","ENT","PIT","21","$0.0","0","0","0.0"
"Charlton Trethewey                                A","D","ENT","PIT","20","$0.0","0","0","0.0"
"Joona Vaisanen                                A","D","ENT","PIT","23","$0.0","0","0","0.0"
"Parker Von Richter                                A","D","ENT","PIT","21","$0.0","0","0","0.0"
"Tomas Galvas                                A","D","ENT","PIT","21","$0.0","0","0","0.0"
"Emil Jarventie                                A","F","ENT","PIT","22","$0.0","0","0","0.0"
"Kalle Kangas                                A","D","ENT","PIT","22","$0.0","0","0","0.0"
"Matvei Nikonovich                                A","G","ENT","PIT","19","$0.0","0","0","0.0"
"Kirill Tankov                                3","F","UFA","PIT","25","$0.0","0","0","0.0"
"Ivar Stenberg                                A","F","ENT","SJS","19","$0.0","0","0","0.0"
"Alex Wennberg                                3","F","UFA","SJS","32","$0.0","0","0","0.0"
"Luca Cagnoni                                A","D","ENT","SJS","22","$0.0","3","0","0.0"
"Nolan Allan                                3","D","UFA","SJS","24","$0.0","0","0","0.0"
"Filip Bystedt                                A","F","ENT","SJS","23","$0.0","0","0","0.0"
"Tye Felhaber                                3","F","UFA","SJS","29","$0.0","0","0","0.0"
"Andre Gasseau                                3","F","UFA","SJS","24","$0.0","0","0","0.0"
"Libor Hajek                                3","D","UFA","SJS","29","$0.0","0","0","0.0"
"Mattias Havelid                                A","D","ENT","SJS","23","$0.0","0","0","0.0"
"Jimmy Huntington                                3","F","UFA","SJS","28","$0.0","0","0","0.0"
"Kyle Keyser                                3","G","UFA","SJS","28","$0.0","0","0","0.0"
"Brett Leason                                3","F","UFA","SJS","28","$0.0","6","0","0.0"
"Cam Lund                                3","F","UFA","SJS","23","$0.0","0","0","0.0"
"Quentin Musty                                A","F","LGN","SJS","22","$0.5","0","0","0.0"
"Eric Pohlkamp                                A","D","ENT","SJS","23","$0.0","0","0","0.0"
"Leo Sahlin Wallenius                                A","D","ENT","SJS","21","$0.0","0","0","0.0"
"Phillip Sinn                                A","D","ENT","SJS","23","$0.0","0","0","0.0"
"Carson Wetsch                                A","F","ENT","SJS","21","$0.0","0","0","0.0"
"Martin Kaut                                3","F","UFA","SJS","27","$0.0","0","0","0.0"
"Alexander Karmanov                                A","D","ENT","SJS","19","$0.0","0","0","0.0"
"Brady Knowling                                A","G","ENT","SJS","19","$0.0","0","0","0.0"
"Eli Barnett                                A","D","ENT","SJS","23","$0.0","0","0","0.0"
"Michael Fisher                                A","D","ENT","SJS","23","$0.0","0","0","0.0"
"Richard Gallant                                A","F","ENT","SJS","20","$0.0","0","0","0.0"
"Jake Gustafson                                A","F","ENT","SJS","19","$0.0","0","0","0.0"
"Max Heise                                A","F","ENT","SJS","21","$0.0","0","0","0.0"
"Christian Kirsch                                A","G","ENT","SJS","21","$0.0","0","0","0.0"
"David Klee                                A","F","ENT","SJS","22","$0.0","0","0","0.0"
"Reese Laubach                                A","F","ENT","SJS","23","$0.0","0","0","0.0"
"Cole McKinney                                A","F","ENT","SJS","20","$0.0","0","0","0.0"
"Nate Misskey                                A","D","ENT","SJS","22","$0.0","0","0","0.0"
"Joey Muldowney                                A","F","ENT","SJS","23","$0.0","0","0","0.0"
"Teddy Mutryn                                A","F","ENT","SJS","20","$0.0","0","0","0.0"
"Joshua Ravensbergen                                A","G","ENT","SJS","20","$0.0","0","0","0.0"
"Colton Roberts                                A","D","ENT","SJS","21","$0.0","0","0","0.0"
"Keaton Verhoeff                                A","D","ENT","SJS","19","$0.0","0","0","0.0"
"Haoxi Wang                                A","D","ENT","SJS","20","$0.0","0","0","0.0"
"Yaroslav Korostelyov                                A","G","ENT","SJS","22","$0.0","0","0","0.0"
"Axel Landen                                A","D","ENT","SJS","22","$0.0","0","0","0.0"
"Ilyas Magomedsultanov                                A","D","ENT","SJS","20","$0.0","0","0","0.0"
"Yegor Rimashevsky                                A","F","ENT","SJS","22","$0.0","0","0","0.0"
"Yegor Spiridonov                                3","F","UFA","SJS","26","$0.0","0","0","0.0"
"Logan Couture                                3","F","UFA","SJS","38","$1.3","0","0","0.0"
"Frederick Gaudreau                                3","F","UFA","SEA","34","$0.0","0","0","0.0"
"Ty Nelson                                A","D","ENT","SEA","23","$0.0","0","0","0.0"
"Jon-Randall Avon                                3","F","UFA","SEA","24","$0.0","0","0","0.0"
"Alexis Bernier                                A","D","ENT","SEA","21","$0.0","0","0","0.0"
"Lukas Dragicevic                                A","D","ENT","SEA","22","$0.0","0","0","0.0"
"Ryden Evers                                A","F","ENT","SEA","22","$0.0","0","0","0.0"
"Jagger Firkus                                A","F","BOT","SEA","23","$0.5","0","0","0.0"
"David Goyette                                A","F","ENT","SEA","23","$0.0","0","0","0.0"
"Kaden Hammell                                A","D","ENT","SEA","22","$0.0","0","0","0.0"
"John Hayden                                3","F","UFA","SEA","32","$0.0","3","0","0.0"
"Tyson Jugnauth                                A","D","ENT","SEA","23","$0.0","0","0","0.0"
"Andrei Loshko                                A","F","ENT","SEA","22","$0.0","0","0","0.0"
"Julius Miettinen                                A","F","ENT","SEA","21","$0.0","0","0","0.0"
"Logan Morrison                                3","F","UFA","SEA","25","$0.0","0","0","0.0"
"Jake O`Brien                                A","F","ENT","SEA","20","$0.0","0","0","0.0"
"Victor Ostman                                3","G","UFA","SEA","26","$0.0","1","0","0.0"
"Ville Ottavainen                                3","D","UFA","SEA","25","$0.0","0","0","0.0"
"Caden Price                                A","D","ENT","SEA","22","$0.0","0","0","0.0"
"Carson Rehkopf                                A","F","ENT","SEA","22","$0.0","0","0","0.0"
"Lleyton Roed                                3","F","UFA","SEA","25","$0.0","0","0","0.0"
"Eduard Sale                                A","F","LPT","SEA","22","$0.5","0","0","0.0"
"Nathan Villeneuve                                A","F","ENT","SEA","21","$0.0","0","0","0.0"
"Peetro Seppala                                3","D","UFA","SEA","27","$0.0","0","0","0.0"
"Finn Kearns                                A","D","ENT","SEA","19","$0.0","0","0","0.0"
"Casey Mutryn                                A","F","ENT","SEA","19","$0.0","0","0","0.0"
"Will Reynolds                                A","D","ENT","SEA","20","$0.0","0","0","0.0"
"Rylan Singh                                A","D","ENT","SEA","19","$0.0","0","0","0.0"
"Clarke Caswell                                A","F","ENT","SEA","21","$0.0","0","0","0.0"
"Jakub Fibigr                                A","D","ENT","SEA","21","$0.0","0","0","0.0"
"Blake Fiddler                                A","D","ENT","SEA","20","$0.0","0","0","0.0"
"Barrett Hall                                A","F","ENT","SEA","23","$0.0","0","0","0.0"
"Luken Huff                                A","D","ENT","SEA","21","$0.0","0","0","0.0"
"Ollie Josephson                                A","F","ENT","SEA","21","$0.0","0","0","0.0"
"Ben MacDonald                                A","F","ENT","SEA","23","$0.0","0","0","0.0"
"Chase Reid                                A","D","ENT","SEA","19","$0.0","0","0","0.0"
"William Tomko                                A","F","ENT","SEA","20","$0.0","0","0","0.0"
"Zaccharya Wisdom                                A","F","ENT","SEA","23","$0.0","0","0","0.0"
"Maxim Agafonov                                A","D","ENT","SEA","20","$0.0","0","0","0.0"
"Karl Annborn                                A","D","ENT","SEA","20","$0.0","0","0","0.0"
"Viktor Fedorov                                A","F","ENT","SEA","19","$0.0","0","0","0.0"
"Zeb Forsfjall                                A","F","ENT","SEA","22","$0.0","0","0","0.0"
"Loke Krantz                                A","F","ENT","SEA","20","$0.0","0","0","0.0"
"Ola Palme                                A","D","ENT","SEA","19","$0.0","0","0","0.0"
"Kim Saarinen                                A","G","ENT","SEA","21","$0.0","0","0","0.0"
"Visa Vedenpaa                                A","G","ENT","SEA","22","$0.0","0","0","0.0"
"Semyon Vyazovoi                                3","G","UFA","SEA","24","$0.0","0","0","0.0"
"Michael Buchinger                                A","D","ENT","STL","23","$0.0","0","0","0.0"
"Quinton Burns                                A","D","ENT","STL","22","$0.0","0","0","0.0"
"Justin Carbonneau                                A","F","LGN","STL","20","$0.5","0","0","0.0"
"Will Cranley                                3","G","UFA","STL","25","$0.0","0","0","0.0"
"Zach Dean                                3","F","UFA","STL","24","$0.0","0","0","0.0"
"Dillon Dube                                3","F","UFA","STL","29","$0.0","0","0","0.0"
"Lukas Fischer                                A","D","ENT","STL","21","$0.0","0","0","0.0"
"Marc-Andre Gaudet                                3","D","UFA","STL","24","$0.0","0","0","0.0"
"Adam Jecho                                A","F","ENT","STL","21","$0.0","0","0","0.0"
"Adam Jiricek                                A","D","ENT","STL","21","$0.0","0","0","0.0"
"Aleksanteri Kaskimaki                                A","F","ENT","STL","23","$0.0","5","0","0.0"
"Arseni Koromyslov                                A","D","ENT","STL","23","$0.0","0","0","0.0"
"Juraj Pekarcik                                A","F","ENT","STL","22","$0.0","0","0","0.0"
"Dylan Peterson                                3","F","UFA","STL","25","$0.0","0","0","0.0"
"Colin Ralph                                A","D","ENT","STL","21","$0.0","0","0","0.0"
"Simon Robertsson                                3","F","UFA","STL","24","$0.0","0","0","0.0"
"Georgi Romanov                                3","G","UFA","STL","27","$0.0","0","0","0.0"
"Calle Rosen                                3","D","UFA","STL","33","$0.0","0","0","0.0"
"Jakub Stancl                                A","F","ENT","STL","22","$0.0","0","0","0.0"
"Nikita Susuev                                A","F","ENT","STL","22","$0.0","0","0","0.0"
"Felix Trudeau                                3","F","UFA","STL","24","$0.0","0","0","0.0"
"Mikhail Abramov                                3","F","UFA","STL","26","$0.0","0","0","0.0"
"Leo Loof                                3","D","UFA","STL","25","$0.0","0","0","0.0"
"Nicholas Bogas                                A","D","ENT","STL","19","$0.0","0","0","0.0"
"Maddox Dagenais                                A","F","ENT","STL","19","$0.0","0","0","0.0"
"Colin Fitzgerald                                A","F","ENT","STL","19","$0.0","0","0","0.0"
"Vladimir Proskurin                                A","G","ENT","STL","19","$0.0","0","0","0.0"
"Luke Schairer                                A","D","ENT","STL","19","$0.0","0","0","0.0"
"Carter Stevens                                A","F","ENT","STL","19","$0.0","0","0","0.0"
"Antoine Dorion                                A","F","ENT","STL","21","$0.0","0","0","0.0"
"Tynan Lawrence                                A","F","ENT","STL","19","$0.0","0","0","0.0"
"Matthew Mayich                                A","D","ENT","STL","22","$0.0","0","0","0.0"
"William McIsaac                                A","D","ENT","STL","21","$0.0","0","0","0.0"
"Tomas Mrsic                                A","F","ENT","STL","21","$0.0","0","0","0.0"
"Landon Nycz                                A","D","ENT","STL","19","$0.0","0","0","0.0"
"Dmitri Buchelnikov                                3","F","UFA","STL","24","$0.0","0","0","0.0"
"Mikhail Fyodorov                                A","F","ENT","STL","20","$0.0","0","0","0.0"
"Milton Gastrin                                A","F","ENT","STL","20","$0.0","0","0","0.0"
"Marcus Gidlof                                A","G","ENT","STL","21","$0.0","0","0","0.0"
"Love Harenstam                                A","G","ENT","STL","20","$0.0","0","0","0.0"
"Matvei Korotky                                A","F","ENT","STL","21","$0.0","0","0","0.0"
"Ondrej Kos                                A","F","ENT","STL","21","$0.0","0","0","0.0"
"Lars Steiner                                A","F","ENT","STL","19","$0.0","0","0","0.0"
"Ivan Vorobyov                                3","F","UFA","STL","25","$0.0","0","0","0.0"
"Torey Krug                                3","D","UFA","STL","36","$1.1","0","0","0.0"
"Charle-Edouard D`Astous                                3","D","UFA","TBL","29","$0.0","0","0","0.0"
"Nick Abruzzese                                3","F","UFA","TBL","28","$0.0","0","0","0.0"
"Tristan Allard                                3","F","UFA","TBL","25","$0.0","0","0","0.0"
"Michael Callahan                                3","D","UFA","TBL","27","$0.0","5","0","0.0"
"Dylan Duke                                3","F","UFA","TBL","24","$0.0","1","0","0.0"
"Cooper Flinton                                3","F","UFA","TBL","24","$0.0","0","0","0.0"
"Ethan Gauthier                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Dyllan Gill                                A","D","ENT","TBL","23","$0.0","0","0","0.0"
"Tomas Kralovic                                A","D","ENT","TBL","22","$0.0","0","0","0.0"
"Connor Kurth                                3","F","UFA","TBL","24","$0.0","0","0","0.0"
"Simon Lundmark                                3","D","UFA","TBL","26","$0.0","1","0","0.0"
"Harrison Meneghin                                A","G","ENT","TBL","23","$0.0","0","0","0.0"
"Lucas Mercuri                                3","F","UFA","TBL","25","$0.0","0","0","0.0"
"Sam O`Reilly                                A","F","ENT","TBL","21","$0.0","0","0","0.0"
"Jakob Pelletier                                3","F","UFA","TBL","26","$0.5","5","0","0.0"
"Olivier Rodrigue                                3","G","UFA","TBL","27","$0.0","0","0","0.0"
"Milo Roelens                                3","F","UFA","TBL","24","$0.0","0","0","0.0"
"Noah Steen                                A","F","ENT","TBL","23","$0.0","0","0","0.0"
"Gabriel Szturc                                A","F","ENT","TBL","23","$0.0","0","0","0.0"
"Hugo Alnefelt                                D","G","BOT","TBL","26","$0.5","0","0","0.0"
"Ethan Czata                                A","F","ENT","TBL","20","$0.0","0","0","0.0"
"Aiden Foster                                A","F","ENT","TBL","20","$0.0","0","0","0.0"
"Oleg Kulebiakin                                A","F","ENT","TBL","19","$0.0","0","0","0.0"
"Stepan Shurygin                                A","G","ENT","TBL","20","$0.0","0","0","0.0"
"Cooper Soller                                A","F","ENT","TBL","19","$0.0","0","0","0.0"
"Grant Spada                                A","D","ENT","TBL","20","$0.0","0","0","0.0"
"Max Vilen                                A","D","ENT","TBL","21","$0.0","0","0","0.0"
"Everett Baldwin                                A","D","ENT","TBL","20","$0.0","0","0","0.0"
"Hagen Burrows                                A","F","ENT","TBL","21","$0.0","0","0","0.0"
"Warren Clark                                A","D","ENT","TBL","23","$0.0","0","0","0.0"
"Joe Connor                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Jan Golicic                                A","D","ENT","TBL","21","$0.0","0","0","0.0"
"Jack Harvey                                3","F","UFA","TBL","24","$0.0","0","0","0.0"
"Ethan Hay                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Caleb Heil                                A","G","ENT","TBL","21","$0.0","0","0","0.0"
"Marco Mignosa                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Jack Pridham                                A","F","ENT","TBL","21","$0.0","0","0","0.0"
"Jayson Shaugabay                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Klavs Veinbergs                                3","F","UFA","TBL","24","$0.0","0","0","0.0"
"Morgan Anderberg                                A","F","ENT","TBL","19","$0.0","0","0","0.0"
"Roman Luttsev                                A","F","ENT","TBL","21","$0.0","0","0","0.0"
"Daniil Pylenkov                                3","D","UFA","TBL","26","$0.0","0","0","0.0"
"Benjamin Rautiainen                                A","F","ENT","TBL","22","$0.0","0","0","0.0"
"Joona Saarelainen                                A","F","ENT","TBL","21","$0.0","0","0","0.0"
"Mikhail Shalagin                                3","F","UFA","TBL","28","$0.0","0","0","0.0"
"Gavin McKenna                                A","F","ENT","TOR","19","$0.0","0","0","0.0"
"Artur Akhtyamov                                3","G","UFA","TOR","25","$0.0","3","0","0.0"
"Vinny Borgesi                                A","D","ENT","TOR","23","$0.0","0","0","0.0"
"Brandon Buhr                                3","F","UFA","TOR","25","$0.0","0","0","0.0"
"Noah Chadwick                                A","D","ENT","TOR","22","$0.0","0","0","0.0"
"Ben Danford                                A","D","ENT","TOR","21","$0.0","0","0","0.0"
"Samuel Hlavaj                                3","G","UFA","TOR","26","$0.0","0","0","0.0"
"Miroslav Holinka                                A","F","ENT","TOR","21","$0.0","0","0","0.0"
"Hayes Hundley                                A","D","ENT","TOR","22","$0.0","0","0","0.0"
"Vinni Lettieri                                3","F","UFA","TOR","32","$0.0","0","0","0.0"
"Zack MacEwen                                3","F","UFA","TOR","31","$3.2","3","0","0.0"
"Cole McWard                                3","D","UFA","TOR","26","$0.0","3","0","0.0"
"Timofei Obvintsev                                A","G","ENT","TOR","22","$0.0","0","0","0.0"
"Michael Pezzetta                                3","F","UFA","TOR","29","$0.0","9","0","0.0"
"Marshall Rifai                                3","D","UFA","TOR","29","$0.0","1","0","0.0"
"Henrik Rybinski                                3","F","UFA","TOR","26","$0.0","0","0","0.0"
"Landon Sim                                A","F","ENT","TOR","23","$0.0","0","0","0.0"
"Blake Smith                                A","D","ENT","TOR","22","$0.0","0","0","0.0"
"Ryan Tverberg                                3","F","UFA","TOR","25","$0.0","2","0","0.0"
"Borya Valis                                A","F","ENT","TOR","23","$0.0","0","0","0.0"
"William Villeneuve                                3","D","UFA","TOR","25","$0.0","3","0","0.0"
"Cade Webber                                3","D","UFA","TOR","26","$0.0","0","0","0.0"
"Semyon Der-Arguchintsev                                3","F","UFA","TOR","27","$0.0","0","0","0.0"
"Roni Hirvonen                                3","F","UFA","TOR","25","$0.0","0","0","0.0"
"Topi Niemela                                C","D","LPT","TOR","25","$0.5","0","0","0.0"
"Alexander Bilecki                                A","D","ENT","TOR","19","$0.0","0","0","0.0"
"Rylan Fellinger                                A","D","ENT","TOR","20","$0.0","0","0","0.0"
"Tyler Hopkins                                A","F","ENT","TOR","20","$0.0","0","0","0.0"
"Harry Nansi                                A","F","ENT","TOR","20","$0.0","0","0","0.0"
"Cooper Williams                                A","F","ENT","TOR","19","$0.0","0","0","0.0"
"William Belle                                A","F","ENT","TOR","20","$0.0","0","0","0.0"
"Matthew Lahey                                A","D","ENT","TOR","21","$0.0","0","0","0.0"
"Ethan MacKenzie                                A","D","ENT","TOR","21","$0.0","0","0","0.0"
"Hudson Malinoski                                A","F","ENT","TOR","23","$0.0","0","0","0.0"
"Sam McCue                                A","F","ENT","TOR","21","$0.0","0","0","0.0"
"Nicholas Moldenhauer                                A","F","ENT","TOR","23","$0.0","0","0","0.0"
"Zach Olsen                                A","F","ENT","TOR","19","$0.0","0","0","0.0"
"Brody Pepoy                                A","F","ENT","TOR","19","$0.0","0","0","0.0"
"Juuso Ainasto                                A","G","ENT","TOR","19","$0.0","0","0","0.0"
"Yaroslav Fedoseyev                                A","D","ENT","TOR","19","$0.0","0","0","0.0"
"Mans Gudmundsson                                A","D","ENT","TOR","19","$0.0","0","0","0.0"
